SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700013,2017-10-18 00:00:00,1610612745,10,604,1,105,44,19,7,3,16,0.398,0.931,0.267,5,0,122.0,43.0,28.0,9.0,5.0,13.0,0.485,0.684,0.366,1.0
22017,0021700007,2017-10-18 00:00:00,1610612738,2,160,0,100,43,23,12,2,15,0.429,0.524,0.393,-8,1,99.0,46.0,24.0,11.0,4.0,12.0,0.409,0.76,0.25,-3.0
22017,0021700020,2017-10-20 00:00:00,1610612765,8,492,0,111,33,19,12,1,19,0.494,0.75,0.435,-4,0,102.0,47.0,24.0,14.0,3.0,9.0,0.427,0.917,0.346,12.0
22017,0021700019,2017-10-20 00:00:00,1610612738,2,137,1,102,55,16,4,5,19,0.417,0.688,0.345,10,0,99.5,44.5,23.5,11.5,3.0,13.5,0.419,0.642,0.3215,-5.5
22017,0021700025,2017-10-20 00:00:00,1610612740,18,1082,0,120,50,26,8,4,19,0.459,0.636,0.444,-8,1,91.0,51.0,15.0,4.0,12.0,18.0,0.38,0.828,0.28,-12.0
22017,0021700019,2017-10-20 00:00:00,1610612755,22,1307,0,92,47,20,7,4,17,0.38,0.75,0.313,-10,1,115.0,48.0,25.0,6.0,6.0,17.0,0.462,0.737,0.429,-5.0
22017,0021700021,2017-10-20 00:00:00,1610612749,16,962,0,97,30,23,9,2,15,0.463,0.833,0.314,-19,1,108.0,45.0,19.0,6.0,4.0,15.0,0.5,0.833,0.333,8.0
22017,0021700020,2017-10-20 00:00:00,1610612764,29,1719,1,115,37,25,12,7,17,0.533,0.829,0.353,4,1,120.0,52.0,21.0,8.0,10.0,10.0,0.433,0.789,0.273,5.0
22017,0021700017,2017-10-20 00:00:00,1610612737,0,2,0,91,38,19,11,4,13,0.379,0.857,0.233,-18,0,117.0,50.0,20.0,11.0,6.0,13.0,0.511,0.8,0.5,6.0
22017,0021700026,2017-10-20 00:00:00,1610612756,23,1376,0,130,50,17,8,9,19,0.489,0.684,0.483,-2,1,76.0,33.0,10.0,9.0,8.0,16.0,0.315,0.722,0.259,-48.0
22017,0021700024,2017-10-20 00:00:00,1610612742,6,401,0,88,36,19,8,7,12,0.413,0.714,0.333,-5,1,111.0,41.0,27.0,5.0,4.0,16.0,0.442,0.857,0.378,-6.0
22017,0021700023,2017-10-20 00:00:00,1610612750,17,1042,1,100,44,17,11,2,16,0.444,0.808,0.318,3,1,99.0,42.0,23.0,7.0,4.0,13.0,0.435,0.739,0.421,-8.0
22017,0021700017,2017-10-20 00:00:00,1610612766,3,203,1,109,57,17,5,4,21,0.43,0.8,0.306,18,1,90.0,47.0,16.0,4.0,3.0,17.0,0.397,0.793,0.3,-12.0
22017,0021700022,2017-10-20 00:00:00,1610612751,1,107,1,126,48,22,13,6,18,0.5,0.714,0.333,5,1,131.0,43.0,22.0,7.0,2.0,20.0,0.479,0.906,0.4,-9.0
22017,0021700026,2017-10-20 00:00:00,1610612747,13,776,1,132,42,22,8,3,18,0.516,0.727,0.462,2,0,92.0,52.0,21.0,8.0,7.0,20.0,0.407,0.609,0.25,-16.0
22017,0021700025,2017-10-20 00:00:00,1610612744,9,539,1,128,49,29,6,8,18,0.516,0.8,0.45,8,0,121.0,41.0,34.0,5.0,9.0,17.0,0.538,0.905,0.533,-1.0
22017,0021700018,2017-10-20 00:00:00,1610612757,24,1403,1,114,51,19,5,6,9,0.484,0.765,0.474,18,0,124.0,57.0,22.0,8.0,7.0,18.0,0.489,0.786,0.583,48.0
22017,0021700023,2017-10-20 00:00:00,1610612762,28,1641,0,97,38,23,10,8,19,0.481,0.824,0.409,-3,0,106.0,36.0,28.0,9.0,5.0,15.0,0.506,0.938,0.375,10.0
22017,0021700018,2017-10-20 00:00:00,1610612754,11,690,0,96,39,15,1,4,12,0.449,0.667,0.222,-18,1,140.0,47.0,29.0,12.0,9.0,14.0,0.52,0.781,0.265,9.0
22017,0021700021,2017-10-20 00:00:00,1610612739,5,305,1,116,44,25,8,3,18,0.543,1.0,0.423,19,0,102.0,50.0,19.0,3.0,4.0,17.0,0.458,0.84,0.227,3.0
22017,0021700022,2017-10-20 00:00:00,1610612753,21,1219,0,121,40,30,9,3,22,0.506,0.867,0.545,-5,0,116.0,50.0,22.0,8.0,9.0,15.0,0.478,0.759,0.381,7.0
22017,0021700024,2017-10-20 00:00:00,1610612758,25,1456,1,93,57,20,8,3,15,0.425,0.692,0.435,5,0,100.0,42.0,19.0,5.0,4.0,18.0,0.477,0.8,0.348,-5.0
22017,0021700036,2017-10-21 00:00:00,1610612762,28,1673,1,96,41,22,11,4,19,0.494,0.786,0.31,9,1,101.5,37.0,25.5,9.5,6.5,17.0,0.4935,0.881,0.392,3.5
22017,0021700029,2017-10-21 00:00:00,1610612754,11,652,0,108,45,18,9,4,10,0.448,0.714,0.368,-4,0,118.0,43.0,22.0,6.5,6.5,13.0,0.48450000000000004,0.724,0.2435,-4.5
22017,0021700037,2017-10-21 00:00:00,1610612756,23,1346,0,88,36,19,8,3,20,0.38,0.737,0.25,-42,0,103.0,41.5,13.5,8.5,8.5,17.5,0.402,0.7030000000000001,0.371,-25.0
22017,0021700036,2017-10-21 00:00:00,1610612760,20,1187,0,87,38,15,14,4,17,0.41,0.632,0.333,-9,0,105.0,41.0,26.0,14.0,7.0,20.0,0.433,0.727,0.289,21.0
22017,0021700033,2017-10-21 00:00:00,1610612744,9,535,0,101,46,20,10,7,17,0.393,0.852,0.316,-10,0,124.5,45.0,31.5,5.5,8.5,17.5,0.527,0.8525,0.49150000000000005,3.5
22017,0021700035,2017-10-21 00:00:00,1610612758,25,1457,0,79,39,15,6,3,14,0.365,0.692,0.364,-17,0,96.5,49.5,19.5,6.5,3.5,16.5,0.45099999999999996,0.746,0.39149999999999996,0.0
22017,0021700032,2017-10-21 00:00:00,1610612742,6,357,0,91,41,19,6,0,14,0.369,0.762,0.419,-16,0,99.5,38.5,23.0,6.5,5.5,14.0,0.4275,0.7855,0.35550000000000004,-5.5
22017,0021700031,2017-10-21 00:00:00,1610612741,4,286,0,77,48,18,3,5,20,0.378,0.778,0.286,-10,1,100.0,39.0,22.0,7.0,2.0,19.0,0.416,0.889,0.313,-17.0
22017,0021700031,2017-10-21 00:00:00,1610612759,26,1512,1,87,52,25,8,3,11,0.409,0.625,0.083,10,0,107.0,50.0,22.0,8.0,11.0,11.0,0.461,0.895,0.381,8.0
22017,0021700029,2017-10-21 00:00:00,1610612748,15,910,1,112,45,24,6,11,14,0.517,0.571,0.412,4,1,109.0,44.0,27.0,6.0,4.0,13.0,0.436,0.765,0.267,-7.0
